,corp_code,corp_name,corp_eng_name,stock_code,modify_date
99364,00139029,아주,"AJU Co., Ltd.", ,20240328
99365,01847985,동국인베스트먼트,"DONGKUK INVESTMENT. Co.,Ltd.", ,20240527
99366,00209780,케이씨,"KC CO., LTD.",029460,20241111
99367,01539758,다온종합건설,"DAON Construction Co., Ltd.", ,20250227
99368,00446938,보나캠프,"BONACAMP Co.,Ltd", ,20250227
99369,01898341,한민에코텍,"Hanmin Ecotech Co., Ltd", ,20250227
99370,00842178,대리정밀,"DAEREE PRECIION CO.,LTD.", ,20250227
99371,01551413,신화케이푸드,ShinhwaKfood inc., ,20250227
99372,01547164,광원,"GWANG WON CO.LTD.,", ,20250227
99373,00871921,짐월드,Gymworld Inc., ,20250227
99374,01083462,재권,"Jeakwon co., Ltd.", ,20250227
99375,00172477,대아홀딩스,DEA A HOLDINGS CO. LTD, ,20250227
99376,01076921,그렉스,"Grex Co., Ltd.", ,20250227
99377,01897874,티케이에이치인터내셔널,"TKH INTERNATIONAL CO.,LTD.", ,20250227
99378,01288711,이솔산업,"esol co., ltd", ,20250227
99379,01812086,니오,NEO , ,20250227
99380,01744581,신선에프앤비,sinsun f&b, ,20250227
99381,01382248,지벤세이프티,ZBIEN SAFETY, ,20250227
99382,01412035,시엔스,"Sciens Co., Ltd. ", ,20250227
99383,00455307,케이티커머스,KTCommerce .inc, ,20250304
99384,01225651,한샘개발,Hanssem Development. co.ltd, ,20250304
99385,01732735,가담사,"GADAMSA CO.,LTD.", ,20250304
99386,00297448,플래스크,"Flask Co., Ltd.",041590,20250305
99387,01181515,엘앤씨바이오,"L&C BIO Co., Ltd",290650,20250305
99388,00919559,제이케이이((주)JKE),"JKE Co.,Ltd.", ,20250305
99389,01899100,그레이트야음제오차,"Great Yaeum 5th Co., Ltd.", ,20250305
99390,01899119,메리지에이치제일차," Merige H 1st Co., Ltd.", ,20250305
99391,01899128,야음이글스제삼차,"Yaeum Eagles 3rd Co., Ltd", ,20250305
99392,01899137,올라프제이차,"Olaf 2nd Co., Ltd.", ,20250305
99393,01899146,에코상무제일차," Eco Sangmu 1st Co., Ltd.", ,20250305
99394,01252974,이엔지스틸,"ENGSTEEL CO,.LTD.", ,20250305
99395,01898387,한경디앤씨,"Hankyung D&C CO.,LTD", ,20250305
99396,01897625,산도브레이크,SANDO BRAKE COMPANY, ,20250305
99397,01828342,대저페리,DAEZER FERRY , ,20250211
99398,01304620,도음산풍력발전,"Doeumsan Windfarm.co.,Ltd", ,20250211
99399,01895511,엔에이치우리뉴딜병행투자제1호사모투자,NH Woori new Deal Co-Investment No.1 Private Equity Fund, ,20250214
99400,00442491,원풍약품상사,"WON POONG PHARM CO., LED", ,20250214
99401,00168933,DB생명보험,"DB Life Insurance Co., Ltd.", ,20250217
99402,00390860,대산F&B,Daesan F&B Inc.,065150,20250217
99403,01233465,동국생명과학,"DongKook Life Science Co., Ltd.",303810,20250217
99404,01895238,에이치엔알코,"HN Alko Co.,Ltd.", ,20250219
99405,01541957,더메종,THEMAISON Ltd.., ,20250219
99406,00702870,지에스엠비즈,"GS Mbiz  Co.,Ltd", ,20250219
99407,01306309,성원아이엔디,"SungWon Ind.,", ,20250219
99408,01894886,로움하이텍,"Loum Hitech Co., Ltd", ,20250219
99409,01478828,세석건설,SESUK CONSTRUCTION CORP., ,20250219
99410,01186963,메디오젠,MEDIOGEN, ,20250219
99411,01500321,에스제이파워,s. j. power, ,20250401
99412,01618745,에이치에프파트너스,HF Partners Corp., ,20250401
99413,01214266,이시스코스메틱,"E.CIS COSMETIC Co.,Ltd", ,20250401
99414,00135810,신도시스템,"Sindoh System Co.,Ltd", ,20250401
99415,01615030,에이스냉장,ACE Cold Storage Inc., ,20250401
99416,01904095,메리다,MERIDA, ,20250401
99417,01794106,씨티,"Classting, INC.", ,20250401
99418,01901380,에스아이씨엔티,SI C&T, ,20250401
99419,00298410,씨케이코퍼레이션즈,CK corporations, ,20250401
99420,01903607,경동화학,Kyungdong Chemical Corp, ,20250401
99421,01371251,건향개발,KUN HYANG DEVELOPMENT, ,20250401
99422,00404941,한텍,HANTECH LTD.,098070,20250402
99423,00149804,대유에이텍,"DAYOU AUTOMOTIVE SEAT TECHNOLOGY CO., LTD",002880,20250402
99424,01469006,엔라이튼,"ENlighten Co., Ltd", ,20250414
99425,01899164,솔타메디칼코리아,Solta Medical Korea Limited, ,20250414
99426,01905687,충주에코파크,Chungju Ecopark, ,20250414
99427,01910245,신성금속,"SHIN SUNG METAL CO., LTD.", ,20250414
99428,01909230,케이엠메탈,"KM Metal CO.,LTD", ,20250414
99429,01819733,신풍에이치,SHINPOONG H CO. LTD, ,20240409
99430,01823408,하베스트로즈,harvest rose, ,20240409
99431,01078099,에스티아이,"STI Co.,Ltd", ,20240409
99432,00648484,한국코플랜드,Emerson Electric Korea Ltd., ,20240409
99433,01692525,신영문봉피에프브이,Shinyoung DC PFV, ,20240409
99434,01769854,스카이네트웍스,"SKY Networks Co.,Ltd", ,20240409
